# pvm-testbed perf matrix
# env	7.0.0-31-generic__13th-Gen-Intel-R-Core-TM-i9-13900HK
# kernel	v7.3-rc2-17-gc39e89576664
# date	2026-09-12T21:12:49-03:00
# reps	5
metric	cpus	vendor	median	min	max	n	unit
perf/context-switch.ns_per_pipe_roundtrip	1	intel	5696	5581	5911	5	ns
perf/context-switch.ns_per_pipe_roundtrip	1	pvm	8739	8417	9624	5	ns
perf/context-switch.ns_per_pipe_roundtrip	2	intel	4335	4159	4600	5	ns
perf/context-switch.ns_per_pipe_roundtrip	2	pvm	8480	7606	1.027e+04	4	ns
perf/context-switch.ns_per_pipe_roundtrip	16	intel	4322	4322	4322	1	ns
perf/fork-exec.us_per_fork_exec	1	intel	465.8	456.6	509.4	5	us
perf/fork-exec.us_per_fork_exec	1	pvm	1720	1581	1792	5	us
perf/fork-exec.us_per_fork_exec	2	intel	534.5	518.4	567.7	5	us
perf/fork-exec.us_per_fork_exec	2	pvm	2306	2198	2762	5	us
perf/fork-exec.us_per_fork_exec	8	intel	968.1	867.1	1174	5	us
perf/fork-exec.us_per_fork_exec	8	pvm	3526	3123	3763	5	us
perf/fork-exec.us_per_fork_exec	16	intel	1354	1182	1458	5	us
perf/fork-exec.us_per_fork_exec	16	pvm	3925	3249	5044	5	us
perf/page-fault.ns_per_fault	1	intel	8943	8759	1.06e+04	5	ns
perf/page-fault.ns_per_fault	1	pvm	8093	6788	9607	5	ns
perf/page-fault.ns_per_fault	2	intel	8772	8559	9228	5	ns
perf/page-fault.ns_per_fault	2	pvm	6645	6142	7179	5	ns
perf/page-fault.ns_per_fault	8	intel	9188	8797	9372	5	ns
perf/page-fault.ns_per_fault	8	pvm	7158	6649	9085	5	ns
perf/page-fault.ns_per_fault	16	intel	9045	8892	9831	5	ns
perf/page-fault.ns_per_fault	16	pvm	6734	6605	8476	5	ns
perf/parallel-fault.ns_per_page_cycle	1	intel	746.4	660.3	879	5	ns
perf/parallel-fault.ns_per_page_cycle	1	pvm	4453	4217	4872	5	ns
perf/parallel-fault.ns_per_page_cycle	2	intel	600.5	540.4	695.5	5	ns
perf/parallel-fault.ns_per_page_cycle	2	pvm	2377	2230	3318	5	ns
perf/parallel-fault.ns_per_page_cycle	8	intel	253.3	222.2	300.2	5	ns
perf/parallel-fault.ns_per_page_cycle	8	pvm	1474	1289	1893	5	ns
perf/parallel-fault.ns_per_page_cycle	16	intel	352.9	326.3	401.7	5	ns
perf/parallel-fault.ns_per_page_cycle	16	pvm	1583	1437	1636	5	ns
perf/parallel-fork.cpus	1	intel	1	1	1	5	count
perf/parallel-fork.cpus	1	pvm	1	1	1	5	count
perf/parallel-fork.cpus	2	intel	2	2	2	5	count
perf/parallel-fork.cpus	2	pvm	2	2	2	5	count
perf/parallel-fork.cpus	8	intel	8	8	8	5	count
perf/parallel-fork.cpus	8	pvm	8	8	8	5	count
perf/parallel-fork.cpus	16	intel	16	16	16	5	count
perf/parallel-fork.cpus	16	pvm	16	16	16	5	count
perf/parallel-fork.us_per_fork_exec	1	intel	418.1	414.4	423.1	5	us
perf/parallel-fork.us_per_fork_exec	1	pvm	1672	1645	2026	5	us
perf/parallel-fork.us_per_fork_exec	2	intel	236.4	216.9	288.2	5	us
perf/parallel-fork.us_per_fork_exec	2	pvm	952.3	927.7	996.5	5	us
perf/parallel-fork.us_per_fork_exec	8	intel	99.84	91.73	109.3	5	us
perf/parallel-fork.us_per_fork_exec	8	pvm	714.3	654	750.9	5	us
perf/parallel-fork.us_per_fork_exec	16	intel	150.8	128.4	163.5	5	us
perf/parallel-fork.us_per_fork_exec	16	pvm	745.3	728.1	796.7	5	us
perf/syscall.ns_per_getpid	1	intel	60.15	57.49	64.37	5	ns
perf/syscall.ns_per_getpid	1	pvm	228	213.2	262.7	5	ns
perf/syscall.ns_per_getpid	2	intel	57.7	56.87	60.4	5	ns
perf/syscall.ns_per_getpid	2	pvm	216.1	210.8	217.7	5	ns
perf/syscall.ns_per_getpid	8	intel	63.72	60.4	64.85	5	ns
perf/syscall.ns_per_getpid	8	pvm	234.9	222	240.1	5	ns
perf/syscall.ns_per_getpid	16	intel	60.03	57.85	68.41	5	ns
perf/syscall.ns_per_getpid	16	pvm	212.5	210.6	384.3	5	ns
