# pvm-testbed perf matrix
# env	7.0.0-31-generic__13th-Gen-Intel-R-Core-TM-i9-13900HK
# kernel	v7.3-rc2-25-g86c154bbb372
# date	2026-09-13T01:34:52-03:00
# reps	5
metric	cpus	vendor	median	min	max	n	unit
perf/context-switch.ns_per_pipe_roundtrip	1	intel	5598	5424	5713	5	ns
perf/context-switch.ns_per_pipe_roundtrip	1	pvm	8551	8147	8805	5	ns
perf/context-switch.ns_per_pipe_roundtrip	2	intel	4206	4119	2.514e+04	4	ns
perf/context-switch.ns_per_pipe_roundtrip	2	pvm	8014	6695	9550	4	ns
perf/context-switch.ns_per_pipe_roundtrip	4	intel	4240	4240	4240	1	ns
perf/context-switch.ns_per_pipe_roundtrip	4	pvm	9938	9938	9938	1	ns
perf/context-switch.ns_per_pipe_roundtrip	8	intel	4292	4292	4292	1	ns
perf/context-switch.ns_per_pipe_roundtrip	16	pvm	7143	6943	7342	2	ns
perf/fork-exec.us_per_fork_exec	1	intel	455.1	443	467.3	5	us
perf/fork-exec.us_per_fork_exec	1	pvm	1697	1660	1750	5	us
perf/fork-exec.us_per_fork_exec	2	intel	591.2	449.3	1788	5	us
perf/fork-exec.us_per_fork_exec	2	pvm	2282	2157	3856	5	us
perf/fork-exec.us_per_fork_exec	4	intel	673.1	638.8	972.4	5	us
perf/fork-exec.us_per_fork_exec	4	pvm	3338	3108	4893	5	us
perf/fork-exec.us_per_fork_exec	8	intel	1008	827.1	1169	5	us
perf/fork-exec.us_per_fork_exec	8	pvm	3528	3012	4089	5	us
perf/fork-exec.us_per_fork_exec	16	intel	1291	1193	1491	5	us
perf/fork-exec.us_per_fork_exec	16	pvm	3941	3122	4629	5	us
perf/page-fault.ns_per_fault	1	intel	9026	8761	1.267e+04	5	ns
perf/page-fault.ns_per_fault	1	pvm	7305	6752	9864	5	ns
perf/page-fault.ns_per_fault	2	intel	9171	8567	2.145e+04	5	ns
perf/page-fault.ns_per_fault	2	pvm	6391	6260	2.538e+04	5	ns
perf/page-fault.ns_per_fault	4	intel	9123	8818	9480	5	ns
perf/page-fault.ns_per_fault	4	pvm	7057	6508	9924	5	ns
perf/page-fault.ns_per_fault	8	intel	8767	8549	9089	5	ns
perf/page-fault.ns_per_fault	8	pvm	6566	6535	6828	5	ns
perf/page-fault.ns_per_fault	16	intel	9439	8676	1.141e+04	5	ns
perf/page-fault.ns_per_fault	16	pvm	7131	6605	7655	5	ns
perf/parallel-fault.ns_per_page_cycle	1	intel	702.5	641.9	989.9	5	ns
perf/parallel-fault.ns_per_page_cycle	1	pvm	4517	4185	4534	5	ns
perf/parallel-fault.ns_per_page_cycle	2	intel	607.5	526.6	1366	5	ns
perf/parallel-fault.ns_per_page_cycle	2	pvm	2517	2297	4630	5	ns
perf/parallel-fault.ns_per_page_cycle	4	intel	320.7	292.6	328.2	5	ns
perf/parallel-fault.ns_per_page_cycle	4	pvm	3324	1650	3784	5	ns
perf/parallel-fault.ns_per_page_cycle	8	intel	220.4	215	253.9	5	ns
perf/parallel-fault.ns_per_page_cycle	8	pvm	1614	1338	1771	5	ns
perf/parallel-fault.ns_per_page_cycle	16	intel	344.6	296.5	417.1	5	ns
perf/parallel-fault.ns_per_page_cycle	16	pvm	1631	1429	2948	5	ns
perf/parallel-fork.cpus	1	intel	1	1	1	5	count
perf/parallel-fork.cpus	1	pvm	1	1	1	5	count
perf/parallel-fork.cpus	2	intel	2	2	2	5	count
perf/parallel-fork.cpus	2	pvm	2	2	2	5	count
perf/parallel-fork.cpus	4	intel	4	4	4	5	count
perf/parallel-fork.cpus	4	pvm	4	4	4	5	count
perf/parallel-fork.cpus	8	intel	8	8	8	5	count
perf/parallel-fork.cpus	8	pvm	8	8	8	5	count
perf/parallel-fork.cpus	16	intel	16	16	16	5	count
perf/parallel-fork.cpus	16	pvm	16	16	16	5	count
perf/parallel-fork.us_per_fork_exec	1	intel	418.2	400.9	444.1	5	us
perf/parallel-fork.us_per_fork_exec	1	pvm	1649	1558	1661	5	us
perf/parallel-fork.us_per_fork_exec	2	intel	250.5	213.1	608.6	5	us
perf/parallel-fork.us_per_fork_exec	2	pvm	957.8	937.3	2113	5	us
perf/parallel-fork.us_per_fork_exec	4	intel	143.6	138	169.9	5	us
perf/parallel-fork.us_per_fork_exec	4	pvm	699.8	649.8	878.9	5	us
perf/parallel-fork.us_per_fork_exec	8	intel	95.79	88.89	100.7	5	us
perf/parallel-fork.us_per_fork_exec	8	pvm	646.9	636.7	703.8	5	us
perf/parallel-fork.us_per_fork_exec	16	intel	149.1	134.8	155.2	5	us
perf/parallel-fork.us_per_fork_exec	16	pvm	766.3	716.7	942.1	5	us
perf/syscall.ns_per_getpid	1	intel	60.71	58.31	63.39	5	ns
perf/syscall.ns_per_getpid	1	pvm	215.1	209.7	218.3	5	ns
perf/syscall.ns_per_getpid	2	intel	58.84	56.47	98.84	5	ns
perf/syscall.ns_per_getpid	2	pvm	219.5	212.4	354.4	5	ns
perf/syscall.ns_per_getpid	4	intel	61.8	58.95	65.36	5	ns
perf/syscall.ns_per_getpid	4	pvm	223.1	218.5	240.2	5	ns
perf/syscall.ns_per_getpid	8	intel	59.73	58.43	60.13	5	ns
perf/syscall.ns_per_getpid	8	pvm	215.9	214.5	220.2	5	ns
perf/syscall.ns_per_getpid	16	intel	63.55	61.93	74.16	5	ns
perf/syscall.ns_per_getpid	16	pvm	218.1	211.9	254.8	5	ns
