# pvm-testbed perf matrix
# env	7.0.0-31-generic__13th-Gen-Intel-R-Core-TM-i9-13900HK
# kernel	v7.3-rc2-31-gcd72210cfe08
# date	2026-09-13T16:58:49-03:00
# reps	5
metric	cpus	vendor	median	min	max	n	unit
perf/context-switch.ns_per_pipe_roundtrip	1	intel	5717	5568	6500	5	ns
perf/context-switch.ns_per_pipe_roundtrip	1	pvm	9064	8030	1.272e+04	5	ns
perf/context-switch.ns_per_pipe_roundtrip	2	intel	4224	4184	4443	4	ns
perf/context-switch.ns_per_pipe_roundtrip	2	pvm	6953	6830	9732	3	ns
perf/context-switch.ns_per_pipe_roundtrip	4	intel	4189	4092	4286	2	ns
perf/context-switch.ns_per_pipe_roundtrip	8	intel	4338	4338	4338	1	ns
perf/context-switch.ns_per_pipe_roundtrip	8	pvm	9040	9040	9040	1	ns
perf/context-switch.ns_per_pipe_roundtrip	16	intel	4249	4249	4249	1	ns
perf/fork-exec.us_per_fork_exec	1	intel	461.3	456.5	549.1	5	us
perf/fork-exec.us_per_fork_exec	1	pvm	1738	1636	1870	5	us
perf/fork-exec.us_per_fork_exec	2	intel	506.7	477	712.2	5	us
perf/fork-exec.us_per_fork_exec	2	pvm	2273	2025	3391	5	us
perf/fork-exec.us_per_fork_exec	4	intel	802.1	544.3	990.5	5	us
perf/fork-exec.us_per_fork_exec	4	pvm	2930	2733	4396	5	us
perf/fork-exec.us_per_fork_exec	8	intel	1137	615.1	2637	5	us
perf/fork-exec.us_per_fork_exec	8	pvm	3664	3276	5352	5	us
perf/fork-exec.us_per_fork_exec	16	intel	1306	1241	1366	5	us
perf/fork-exec.us_per_fork_exec	16	pvm	4346	4101	4494	5	us
perf/page-fault.ns_per_fault	1	intel	9038	8947	1.236e+04	5	ns
perf/page-fault.ns_per_fault	1	pvm	7028	6875	7303	5	ns
perf/page-fault.ns_per_fault	2	intel	8735	8493	9093	5	ns
perf/page-fault.ns_per_fault	2	pvm	6639	6244	7541	5	ns
perf/page-fault.ns_per_fault	4	intel	8417	8044	9249	5	ns
perf/page-fault.ns_per_fault	4	pvm	6603	6538	9286	5	ns
perf/page-fault.ns_per_fault	8	intel	9980	8508	1.205e+04	5	ns
perf/page-fault.ns_per_fault	8	pvm	6939	6445	9585	5	ns
perf/page-fault.ns_per_fault	16	intel	9247	8701	1.047e+04	5	ns
perf/page-fault.ns_per_fault	16	pvm	6698	6550	8126	5	ns
perf/parallel-fault.ns_per_page_cycle	1	intel	734.1	724.4	1119	5	ns
perf/parallel-fault.ns_per_page_cycle	1	pvm	4474	4254	4639	5	ns
perf/parallel-fault.ns_per_page_cycle	2	intel	601.5	432.9	613.3	5	ns
perf/parallel-fault.ns_per_page_cycle	2	pvm	2465	2371	3366	5	ns
perf/parallel-fault.ns_per_page_cycle	4	intel	314.4	291.6	384.9	5	ns
perf/parallel-fault.ns_per_page_cycle	4	pvm	2519	2334	3245	5	ns
perf/parallel-fault.ns_per_page_cycle	8	intel	238.1	219.6	270	5	ns
perf/parallel-fault.ns_per_page_cycle	8	pvm	1643	1307	1705	5	ns
perf/parallel-fault.ns_per_page_cycle	16	intel	328.2	288.7	369.9	5	ns
perf/parallel-fault.ns_per_page_cycle	16	pvm	1573	1447	1878	5	ns
perf/parallel-fork.cpus	1	intel	1	1	1	5	count
perf/parallel-fork.cpus	1	pvm	1	1	1	5	count
perf/parallel-fork.cpus	2	intel	2	2	2	5	count
perf/parallel-fork.cpus	2	pvm	2	2	2	5	count
perf/parallel-fork.cpus	4	intel	4	4	4	5	count
perf/parallel-fork.cpus	4	pvm	4	4	4	5	count
perf/parallel-fork.cpus	8	intel	8	8	8	5	count
perf/parallel-fork.cpus	8	pvm	8	8	8	5	count
perf/parallel-fork.cpus	16	intel	16	16	16	5	count
perf/parallel-fork.cpus	16	pvm	16	16	16	5	count
perf/parallel-fork.us_per_fork_exec	1	intel	446.4	406.7	687.4	5	us
perf/parallel-fork.us_per_fork_exec	1	pvm	1666	1605	1829	5	us
perf/parallel-fork.us_per_fork_exec	2	intel	257.9	238.6	294.8	5	us
perf/parallel-fork.us_per_fork_exec	2	pvm	973.5	925.4	1637	5	us
perf/parallel-fork.us_per_fork_exec	4	intel	131.2	122.8	182.1	5	us
perf/parallel-fork.us_per_fork_exec	4	pvm	649.3	635.3	718.2	5	us
perf/parallel-fork.us_per_fork_exec	8	intel	103	90.77	196.6	5	us
perf/parallel-fork.us_per_fork_exec	8	pvm	647	623.6	794.2	5	us
perf/parallel-fork.us_per_fork_exec	16	intel	131.2	121.6	164	5	us
perf/parallel-fork.us_per_fork_exec	16	pvm	711.9	687.6	753.6	5	us
perf/syscall.ns_per_getpid	1	intel	57.12	56.5	87.69	5	ns
perf/syscall.ns_per_getpid	1	pvm	219.6	213.7	239.3	5	ns
perf/syscall.ns_per_getpid	2	intel	56.28	52.49	64.33	5	ns
perf/syscall.ns_per_getpid	2	pvm	211.2	207.9	297	5	ns
perf/syscall.ns_per_getpid	4	intel	55.44	54.06	63.66	5	ns
perf/syscall.ns_per_getpid	4	pvm	220.2	205	241.5	5	ns
perf/syscall.ns_per_getpid	8	intel	55.65	53.85	65.52	5	ns
perf/syscall.ns_per_getpid	8	pvm	208.3	202.6	247.2	5	ns
perf/syscall.ns_per_getpid	16	intel	58.6	55.84	60.98	5	ns
perf/syscall.ns_per_getpid	16	pvm	216.3	212.2	241.8	5	ns
