# pvm-testbed perf matrix
# env	7.0.0-31-generic__13th-Gen-Intel-R-Core-TM-i9-13900HK
# kernel	v7.3-rc2-31-gcd72210cfe08
# date	2026-09-13T16:20:05-03:00
# reps	5
metric	cpus	vendor	median	min	max	n	unit
perf/context-switch.ns_per_pipe_roundtrip	1	intel	5117	4990	5250	5	ns
perf/context-switch.ns_per_pipe_roundtrip	1	pvm	7837	7544	8516	5	ns
perf/context-switch.ns_per_pipe_roundtrip	2	intel	3790	3716	3831	4	ns
perf/context-switch.ns_per_pipe_roundtrip	2	pvm	6291	6035	6547	2	ns
perf/context-switch.ns_per_pipe_roundtrip	4	intel	4108	4045	4171	2	ns
perf/context-switch.ns_per_pipe_roundtrip	4	pvm	5974	5942	6005	2	ns
perf/fork-exec.us_per_fork_exec	1	intel	402.4	396.1	410.6	5	us
perf/fork-exec.us_per_fork_exec	1	pvm	1658	1561	1817	5	us
perf/fork-exec.us_per_fork_exec	2	intel	384.4	371.4	402.3	5	us
perf/fork-exec.us_per_fork_exec	2	pvm	2711	2207	3665	5	us
perf/fork-exec.us_per_fork_exec	4	intel	481	447.6	504.7	5	us
perf/fork-exec.us_per_fork_exec	4	pvm	2917	2239	3558	5	us
perf/fork-exec.us_per_fork_exec	8	intel	580.7	488.2	600.7	5	us
perf/fork-exec.us_per_fork_exec	8	pvm	3265	2910	4394	5	us
perf/fork-exec.us_per_fork_exec	16	intel	664.9	551.7	808.4	4	us
perf/fork-exec.us_per_fork_exec	16	pvm	4103	3659	4623	5	us
perf/page-fault.ns_per_fault	1	intel	1008	970.6	1241	5	ns
perf/page-fault.ns_per_fault	1	pvm	4435	4400	6214	5	ns
perf/page-fault.ns_per_fault	2	intel	948.2	935.8	984.2	5	ns
perf/page-fault.ns_per_fault	2	pvm	4349	4325	4489	5	ns
perf/page-fault.ns_per_fault	4	intel	1002	968.5	1044	4	ns
perf/page-fault.ns_per_fault	4	pvm	4338	4286	4477	5	ns
perf/page-fault.ns_per_fault	8	intel	1010	951.9	1018	5	ns
perf/page-fault.ns_per_fault	8	pvm	4359	4330	4463	5	ns
perf/page-fault.ns_per_fault	16	intel	1019	1005	1276	4	ns
perf/page-fault.ns_per_fault	16	pvm	4439	4273	6487	5	ns
perf/parallel-fault.ns_per_page_cycle	1	intel	692.3	662	789	5	ns
perf/parallel-fault.ns_per_page_cycle	1	pvm	4362	4206	4615	5	ns
perf/parallel-fault.ns_per_page_cycle	2	intel	467.4	417.6	488.2	5	ns
perf/parallel-fault.ns_per_page_cycle	2	pvm	2449	2337	3558	5	ns
perf/parallel-fault.ns_per_page_cycle	4	intel	289.9	274.9	308.6	5	ns
perf/parallel-fault.ns_per_page_cycle	4	pvm	2614	1464	4875	5	ns
perf/parallel-fault.ns_per_page_cycle	8	intel	215.4	201.7	234.4	5	ns
perf/parallel-fault.ns_per_page_cycle	8	pvm	1567	1192	1826	5	ns
perf/parallel-fault.ns_per_page_cycle	16	intel	289.7	278.3	317.7	4	ns
perf/parallel-fault.ns_per_page_cycle	16	pvm	1689	1398	1905	5	ns
perf/parallel-fork.cpus	1	intel	1	1	1	5	count
perf/parallel-fork.cpus	1	pvm	1	1	1	5	count
perf/parallel-fork.cpus	2	intel	2	2	2	5	count
perf/parallel-fork.cpus	2	pvm	2	2	2	5	count
perf/parallel-fork.cpus	4	intel	4	4	4	5	count
perf/parallel-fork.cpus	4	pvm	4	4	4	5	count
perf/parallel-fork.cpus	8	intel	8	8	8	5	count
perf/parallel-fork.cpus	8	pvm	8	8	8	5	count
perf/parallel-fork.cpus	16	intel	16	16	16	4	count
perf/parallel-fork.cpus	16	pvm	16	16	16	5	count
perf/parallel-fork.us_per_fork_exec	1	intel	383	361.2	403.4	5	us
perf/parallel-fork.us_per_fork_exec	1	pvm	1601	1544	1726	5	us
perf/parallel-fork.us_per_fork_exec	2	intel	199.5	183.5	209.5	4	us
perf/parallel-fork.us_per_fork_exec	2	pvm	914	904	1058	5	us
perf/parallel-fork.us_per_fork_exec	4	intel	120.2	103.5	134.6	5	us
perf/parallel-fork.us_per_fork_exec	4	pvm	643.4	622.2	647.7	5	us
perf/parallel-fork.us_per_fork_exec	8	intel	88.12	80.05	92.68	5	us
perf/parallel-fork.us_per_fork_exec	8	pvm	624.6	619.6	629.1	5	us
perf/parallel-fork.us_per_fork_exec	16	intel	100.7	98.2	118.5	4	us
perf/parallel-fork.us_per_fork_exec	16	pvm	722.5	699.9	1191	5	us
perf/syscall.ns_per_getpid	1	intel	56.64	54.79	57.16	5	ns
perf/syscall.ns_per_getpid	1	pvm	210.8	202.9	220.9	5	ns
perf/syscall.ns_per_getpid	2	intel	55.85	55.24	57.92	5	ns
perf/syscall.ns_per_getpid	2	pvm	210.8	204.6	217	5	ns
perf/syscall.ns_per_getpid	4	intel	56.8	55.94	58.22	5	ns
perf/syscall.ns_per_getpid	4	pvm	214	206.4	215.8	5	ns
perf/syscall.ns_per_getpid	8	intel	56.17	54.73	58.22	5	ns
perf/syscall.ns_per_getpid	8	pvm	215.7	203.5	222.8	5	ns
perf/syscall.ns_per_getpid	16	intel	57.29	56.81	57.49	4	ns
perf/syscall.ns_per_getpid	16	pvm	213.4	205.7	315.4	5	ns
